Weekend East Route Shuttle,,,,,,,,,,,,
Union,Tibbits Ave,B Lot,Colonie ,Brinsmade,Sunset    1 & 2,E-lot,B-lot,13th /   Peoples,9th / Sage,West lot,Sage  ,Union
9:30a,9:33a,9:35a,9:38a,9:41a,9:42a,9:44a,9:45a,9:47a,9:48a,9:50p,9:51p,9:53p
9:53p,9:56a,9:58a,10:01a,10:04a,10:05a,10:07a,10:08a,10:10a,10:11a,10:13a,10:14a,10:16a
10:16a,10:19a,10:21a,10:24a,10:27a,10:28a,10:30a,10:31a,10:33a,10:34a,10:36a,10:38a,10:40a
10:40a,Drop only at Union at 10:40a,,,,,,,,,,,
11:00a,11:03a,11:05a,11:08a,11:11a,11:12a,11:14a,11:15a,11:17a,11:18a,11:20a,11:21a,11:23a
11:23a,11:26a,11:28a,11:31a,11:34a,11:35a,11:37a,11:38a,11:40a,11:41a,11:43a,11:44a,11:46a
11:46a,11:49a,11:52a,11:55a,11:58a,11:59a,12:02p,12:03p,12:05p,12:06p,12:08p,12:09p,12:11p
12:11p,12:14p,12:17p,12:20p,12:23p,12:24p,12:26p,12:27p,12:29p,12:30p,12:32p,12:33p,12:34p
12:34p,12:37p,12:40p,12:43p,12:46p,12:47p,12:49p,12:50p,12:52p,12:53p,12:55p,12:57p,1:00p
1:00p,Drop only at Union at 1:00p,,,,,,,,,,,
1:40p,1:43p,1:46p,1:49p,1:52p,1:53p,1:55p,1:56p,1:58p,1:59p,2:01p,2:02p,2:04p
2:04p,2:07p,2:10p,2:13p,2:16p,2:17p,2:19p,2:20p,2:22p,2:23p,2:25p,2:26p,2:28p
2:28p,2:31p,2:33p,2:36p,2:39p,2:40p,2:42p,2:43p,2:44p,2:45p,2:46p,2:47p,2:50p
2:50p,2:53p,2:55p,2:58p,3:01p,3:02p,3:03p,3:04p,3:06p,3:07p,3:08p,3:09p,3:10p
3:10p,Drop only at Union at 3:10p,,,,,,,,,,,
3:30p,3:33p,3:35p,3:38p,3:41p,3:42p,3:43p,3:44p,3:46p,3:47p,3:48p,3:49p,3:51p
3:51p,3:53p,3:56p,3:59p,4:02p,4:03p,4:05p,4:06p,4:08p,4:09p,4:10p,4:12p,4:14p
4:14p,4:17p,4:20p,4:23p,4:26p,4:27p,4:29p,4:30p,4:32p,4:33p,4:34p,4:36p,4:38p
4:38p,4:41p,4:43p,4:45p,4:47p,4:48p,4:50p,4:51p,4:54p,4:55p,4:57p,4:58p,5:00p
4:45p,X,,X,X,4:50p,4:52p,4:55p,X,X,X,X,5:00p
5:00p,Drop-off only at Union at 5:00p,,,,,,,,,,,
