,,,,,,,,,,,,Monday - Friday 2018 - 2019 EAST SHUTTLE SCHEDULE
Monday - Friday East Route Schedule,,,,,,,,,,,,
Union,Tibbits Ave,B-Lot,Colonie ,Brins made,Sunset    1 & 2,E-lot,B-lot,13th /   Peoples,9th / Sage,West lot,Sage  ,Union
7:00a,7:03a,7:06a,7:09a,7:12a,7:13a,7:15a,7:16a,7:18a,7:19a,7:20a,7:21a,7:23a
7:20a,7:23a,7:26a,7:29a,7:32a,7:33a,7:34a,7:35a,7:37a,7:38a,7:39a,7:40a,7:42a
7:23a,7:26a,7:29a,7:32a,7:35a,7:36a,7:38a,7:39a,7:41a,7:42a,7:43a,7:44a,7:46a
7:42a,7:45a,7:48a,7:51a,7:54a,7:55a,7:57a,7:58a,8:00a,8:01a,8:02a,8:03a,8:05a
7:46a,7:49a,7:52a,7:55a,7:58a,7:59a,8:01a,8:02a,8:04a,8:05a,8:06a,8:07a,8:09a
8:05a,8:08a,8:12a,8:15a,8:18a,8:20a,8:22a,8:23a,8:24a,8:26a,8:27a,8:28a,8:30a
8:09a,8:12a,8:15a,8:18a,8:20a,8:21a,8:22a,8:23a,8:25a,8:27a,8:28a,8:29a,8:30a
8:20a,8:23a,8:26a,8:29a,8:32a,8:33a,8:35a,8:36a,8:38a,8:39a,8:40a,8:41a,8:43a
8:30a,8:33a,8:36a,8:38a,8:40a,8:41a,8:43a,8:44a,8:46a,8:47a,8:48a,8:49a,8:51a
2:50p,2:53p,2:56p,2:59p,3:02p,3:03p,3:05p,3:06p,3:08p,3:09p,3:11p,3:13p,3:15p
3:05p,3:08p,3:11p,3:14p,3:17p,3:18p,3:20p,3:21p,3:23p,3:24p,3:25p,3:26p,3:28p
3:11p,3:14p,3:17p,3:20p,3:23p,3:24p,3:26p,3:27p,3:29p,3:30p,3:32p,3:33p,3:35p
3:15p,3:18p,3:21p,3:24p,3:27p,3:28p,3:30p,3:31p,3:33p,3:35p,3:36p,3:37p,3:39p
3:28p,3:31p,3:34p,3:37p,3:40p,3:41p,3:43p,3:44p,3:46p,3:47p,3:48p,3:50p,3:52p
