ERIC/NAN: 4:30p-8:30p: Bus 93,,,,,,,,,,,,
Union,Colonie ,Brinsmade,Sunset 1 & 2,E-lot,B-lot,13th/Peop.,9th/Sage,Winslow,West lot,Sage Ave ,Union,Break & Lunch Coverage
4:50p,4:53p,4:56p,4:57p,4:58p,4:59p,5:03p,5:04p,5:06p,5:08p,5:09p,5:10p,
5:10p,5:13p,5:16p,5:17p,5:18p,5:19p,5:22p,5:23p,5:26p,5:28p,5:29p,5:30p,
5:30p,5:33p,5:36p,5:37p,5:38p,5:39p,5:42p,5:43p,5:46p,5:48p,5:49p,5:50p,
5:50p,5:53p,5:56p,5:57p,5:58p,5:59p,6:02P,6:03P,6:06p,6:06p,6:09p,6:10p,
6:10p,6:13p,6:16p,6:17p,6:18p,6:19p,6:22p,6:23p,6:26p,6:28p,6:29p,6:30p,Break 6:30-6:50p
6:30p,6:33p,6:36p,6:37p,6:38p,6:39p,6:42p,6:43p,6:46p,6:48p,6:49p,6:50p,
6:50p,6:53p,6:56p,6:57p,6:58p,6:59P,7:02p,7:03P,7:06p,7:08p,7:09p,7:10p,
7:10p,7:13p,7:16p,7:17p,7:18p,7:19p,7:22p,7:23p,7:26p,7:28p,7:29p,7:30p,
7:30p,7:33p,7:36p,7:37p,7:38p,7:39p,7:42p,7:43p,7:46p,7:48p,7:49p,8:00p,
8:00p,8:03p,8:06p,8:07p,8:08p,8:09p,8:12p,8:13p,8:16p,8:18p ,8:19p,8:20p,
